163438: ('LOAD_CONST', 'YIELD_VALUE')
160489: ('BUILD_LIST', 'LOAD_GLOBAL')
156569: ('MAKE_FUNCTION', 'STORE_FAST')
155060: ('CALL_FUNCTION', 'BINARY_MULTIPLY')
154268: ('COMPARE_OP', 'JUMP_IF_TRUE_OR_POP')
153956: ('LOAD_CONST', 'LOAD_METHOD')
149323: ('CALL_FUNCTION_KW', 'POP_TOP')
148736: ('BUILD_LIST', 'RETURN_VALUE')
143410: ('LOAD_GLOBAL', 'RETURN_VALUE')
141121: ('CALL_FUNCTION', 'LOAD_ATTR')
140874: ('CALL_METHOD', 'SETUP_WITH')
140148: ('BINARY_SUBSCR', 'UNARY_NOT')
136903: ('LOAD_ATTR', 'LIST_APPEND')
135212: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
129434: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
127813: ('CALL_FUNCTION', 'YIELD_VALUE')
127323: ('LOAD_ATTR', 'LOAD_DEREF')
125119: ('CALL_FUNCTION_KW', 'POP_JUMP_IF_FALSE')
123218: ('BUILD_LIST', 'CALL_METHOD')
122158: ('LOAD_GLOBAL', 'GET_ITER')
117663: ('CALL_FUNCTION', 'CONTAINS_OP')
116998: ('LOAD_FAST', 'LIST_APPEND')
116204: ('CALL_FUNCTION', 'JUMP_FORWARD')
115228: ('LOAD_ATTR', 'DUP_TOP')
114747: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
113246: ('LOAD_FAST', 'YIELD_VALUE')
110237: ('STORE_SUBSCR', 'LOAD_FAST')
109381: ('SETUP_FINALLY', 'LOAD_DEREF')
108581: ('LOAD_METHOD', 'LOAD_CLOSURE')
108026: ('CALL_FUNCTION_EX', 'POP_BLOCK')
107161: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
105857: ('MAKE_FUNCTION', 'CALL_METHOD')
105458: ('JUMP_IF_TRUE_OR_POP', 'RETURN_VALUE')
105324: ('LOAD_CONST', 'BUILD_LIST')
105081: ('POP_JUMP_IF_FALSE', 'POP_TOP')
104512: ('POP_BLOCK', 'LOAD_FAST')
103630: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
102625: ('ROT_FOUR', 'POP_EXCEPT')
102625: ('POP_EXCEPT', 'RETURN_VALUE')
102452: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
102360: ('LOAD_ATTR', 'ROT_FOUR')
101825: ('JUMP_FORWARD', 'STORE_FAST')
101706: ('LOAD_FAST', 'UNARY_NEGATIVE')
100844: ('BINARY_SUBTRACT', 'RETURN_VALUE')
96992: ('CALL_FUNCTION', 'INPLACE_ADD')
93111: ('LOAD_GLOBAL', 'STORE_FAST')
92413: ('BINARY_SUBTRACT', 'CALL_FUNCTION')
92374: ('LOAD_FAST', 'IS_OP')
92115: ('IS_OP', 'LOAD_FAST')
91761: ('UNARY_NEGATIVE', 'LOAD_CONST')
91760: ('BINARY_SUBTRACT', 'BUILD_SLICE')
91251: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
90429: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
88315: ('MAP_ADD', 'JUMP_ABSOLUTE')
87358: ('BINARY_MULTIPLY', 'CALL_FUNCTION')
85774: ('DUP_TOP', 'STORE_FAST')
85315: ('CALL_METHOD', 'LOAD_METHOD')
83874: ('IS_OP', 'JUMP_IF_FALSE_OR_POP')
83477: ('STORE_FAST', 'UNPACK_SEQUENCE')
82946: ('BINARY_ADD', 'CALL_METHOD')
81160: ('LOAD_ATTR', 'POP_BLOCK')
80606: ('MAKE_FUNCTION', 'STORE_DEREF')
79500: ('CALL_METHOD', 'BINARY_ADD')
79377: ('LOAD_ATTR', 'STORE_ATTR')
78116: ('BINARY_SUBSCR', 'BUILD_LIST')
77019: ('BUILD_MAP', 'STORE_FAST')
75430: ('MAKE_FUNCTION', 'LOAD_DEREF')
75044: ('LOAD_METHOD', 'BUILD_LIST')
73321: ('LOAD_GLOBAL', 'CONTAINS_OP')
72216: ('LOAD_ATTR', 'BINARY_ADD')
69238: ('COMPARE_OP', 'LOAD_FAST')
67714: ('LOAD_ATTR', 'JUMP_FORWARD')
67003: ('LOAD_ATTR', 'JUMP_IF_FALSE_OR_POP')
66982: ('LOAD_CONST', 'JUMP_FORWARD')
65499: ('JUMP_IF_TRUE_OR_POP', 'STORE_FAST')
64305: ('CALL_FUNCTION', 'BUILD_LIST')
63959: ('LOAD_DEREF', 'GET_ITER')
63760: ('EXTENDED_ARG', 'JUMP_FORWARD')
61468: ('CALL_FUNCTION', 'BUILD_TUPLE')
60513: ('BUILD_CONST_KEY_MAP', 'LOAD_CONST')
59736: ('CALL_FUNCTION_KW', 'POP_JUMP_IF_TRUE')
59634: ('BUILD_TUPLE', 'CALL_METHOD')
59460: ('STORE_FAST', 'SETUP_FINALLY')
59146: ('SETUP_FINALLY', 'LOAD_CONST')
58580: ('BINARY_ADD', 'RETURN_VALUE')
58514: ('CALL_METHOD', 'JUMP_IF_FALSE_OR_POP')
58160: ('LOAD_DEREF', 'BUILD_LIST')
57820: ('JUMP_IF_FALSE_OR_POP', 'STORE_FAST')
57767: ('BINARY_SUBSCR', 'ROT_TWO')
57544: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
57194: ('BUILD_LIST', 'LOAD_CONST')
56893: ('BINARY_SUBSCR', 'LIST_APPEND')
54657: ('CALL_METHOD', 'UNARY_NOT')
54538: ('LOAD_ATTR', 'STORE_SUBSCR')
54485: ('POP_TOP', 'EXTENDED_ARG')
52005: ('CALL_METHOD', 'YIELD_VALUE')
50720: ('JUMP_IF_TRUE_OR_POP', 'BUILD_LIST')
50531: ('BUILD_TUPLE', 'STORE_FAST')
50270: ('ROT_TWO', 'STORE_ATTR')
50270: ('DUP_TOP', 'LOAD_ATTR')
49807: ('ROT_THREE', 'STORE_SUBSCR')
49807: ('DUP_TOP_TWO', 'BINARY_SUBSCR')
49453: ('LOAD_DEREF', 'EXTENDED_ARG')
48734: ('LOAD_DEREF', 'COMPARE_OP')
47727: ('CALL_FUNCTION', 'MAP_ADD')
46438: ('LOAD_FAST', 'DUP_TOP')
45596: ('STORE_FAST', 'LOAD_CLOSURE')
45520: ('LOAD_DEREF', 'STORE_FAST')
45204: ('STORE_ATTR', 'BUILD_MAP')
43215: ('LOAD_ATTR', 'BUILD_LIST')
43041: ('LOAD_FAST', 'BUILD_SLICE')
42672: ('BINARY_MULTIPLY', 'STORE_FAST')
41764: ('UNARY_NOT', 'LOAD_FAST')
41575: ('CALL_METHOD', 'POP_BLOCK')
41331: ('CALL_METHOD', 'DUP_TOP')
40737: ('CALL_FUNCTION_EX', 'STORE_FAST')
40634: ('IS_OP', 'YIELD_VALUE')
40519: ('BINARY_SUBSCR', 'STORE_ATTR')
39461: ('CALL_METHOD', 'LOAD_GLOBAL')
39453: ('LOAD_ATTR', 'LOAD_CLOSURE')
39091: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
38578: ('BUILD_LIST', 'LIST_APPEND')
37828: ('FOR_ITER', 'LOAD_CLOSURE')
37683: ('LOAD_FAST', 'MAP_ADD')
37665: ('BINARY_SUBSCR', 'BINARY_ADD')
36743: ('POP_JUMP_IF_TRUE', 'LOAD_DEREF')
36486: ('BINARY_ADD', 'LOAD_CONST')
36275: ('CALL_FUNCTION_KW', 'LOAD_CONST')
35799: ('FOR_ITER', 'POP_BLOCK')
35709: ('JUMP_IF_FALSE_OR_POP', 'LOAD_GLOBAL')
35521: ('POP_TOP', 'LOAD_DEREF')
34971: ('LOAD_DEREF', 'POP_JUMP_IF_FALSE')
34027: ('BINARY_MULTIPLY', 'LOAD_FAST')
33670: ('STORE_ATTR', 'JUMP_ABSOLUTE')
33462: ('INPLACE_ADD', 'ROT_THREE')
33355: ('JUMP_IF_FALSE_OR_POP', 'YIELD_VALUE')
32871: ('MAKE_FUNCTION', 'CALL_FUNCTION')
32690: ('LOAD_CONST', 'DUP_TOP_TWO')
32090: ('JUMP_IF_FALSE_OR_POP', 'CALL_FUNCTION')
32028: ('LOAD_ATTR', 'BINARY_SUBSCR')
31944: ('CALL_FUNCTION', 'BINARY_ADD')
31804: ('BUILD_LIST', 'BINARY_ADD')
31503: ('CALL_FUNCTION_KW', 'SETUP_WITH')
31091: ('BUILD_TUPLE', 'YIELD_VALUE')
31009: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
30671: ('BINARY_SUBTRACT', 'LOAD_CONST')
30634: ('CALL_FUNCTION', 'BINARY_SUBTRACT')
30357: ('EXTENDED_ARG', 'JUMP_IF_TRUE_OR_POP')
29536: ('ROT_TWO', 'STORE_FAST')
29285: ('STORE_ATTR', 'POP_BLOCK')
29146: ('JUMP_FORWARD', 'JUMP_ABSOLUTE')
28049: ('JUMP_ABSOLUTE', 'JUMP_ABSOLUTE')
27905: ('INPLACE_ADD', 'ROT_TWO')
27897: ('JUMP_FORWARD', 'CALL_FUNCTION')
27889: ('BINARY_SUBSCR', 'POP_JUMP_IF_TRUE')
27676: ('BUILD_TUPLE', 'GET_ITER')
27542: ('LOAD_FAST', 'BINARY_MULTIPLY')
27440: ('BINARY_ADD', 'BUILD_TUPLE')
27051: ('LOAD_ATTR', 'CALL_FUNCTION_EX')
26890: ('BINARY_ADD', 'INPLACE_ADD')
26671: ('CALL_METHOD', 'BUILD_LIST')
26311: ('LOAD_DEREF', 'STORE_ATTR')
25956: ('POP_JUMP_IF_FALSE', 'RETURN_VALUE')
25603: ('BINARY_ADD', 'LOAD_GLOBAL')
25545: ('POP_JUMP_IF_TRUE', 'BUILD_MAP')
25192: ('LOAD_GLOBAL', 'JUMP_FORWARD')
24939: ('CALL_FUNCTION_KW', 'LOAD_METHOD')
24935: ('LOAD_CONST', 'STORE_SUBSCR')
24613: ('CALL_METHOD', 'LOAD_DEREF')
24346: ('BINARY_SUBTRACT', 'BINARY_SUBSCR')
24316: ('STORE_ATTR', 'SETUP_FINALLY')
23435: ('LOAD_CONST', 'BINARY_MULTIPLY')
23410: ('BINARY_SUBSCR', 'BUILD_TUPLE')
23331: ('<0>', 'YIELD_FROM')
23305: ('EXTENDED_ARG', 'SETUP_WITH')
23164: ('STORE_DEREF', 'LOAD_DEREF')
22834: ('BINARY_SUBSCR', 'LOAD_DEREF')
22652: ('BINARY_MULTIPLY', 'CALL_METHOD')
22316: ('INPLACE_SUBTRACT', 'ROT_TWO')
22223: ('CALL_FUNCTION', 'RAISE_VARARGS')
21861: ('FOR_ITER', 'JUMP_FORWARD')
21531: ('FOR_ITER', 'BUILD_LIST')
21200: ('FOR_ITER', 'POP_TOP')
21081: ('CALL_FUNCTION_KW', 'CALL_FUNCTION')
20800: ('BINARY_SUBTRACT', 'STORE_FAST')
20693: ('CONTAINS_OP', 'STORE_FAST')
20528: ('LOAD_CONST', 'BUILD_TUPLE')
20052: ('COMPARE_OP', 'STORE_FAST')
20044: ('STORE_ATTR', 'EXTENDED_ARG')
20000: ('BINARY_ADD', 'GET_ITER')
19280: ('COMPARE_OP', 'POP_BLOCK')
19087: ('IS_OP', 'STORE_FAST')
18807: ('LOAD_FAST', 'BINARY_SUBTRACT')
18771: ('STORE_FAST', 'BUILD_MAP')
18730: ('CALL_METHOD', 'LOAD_ATTR')
18639: ('BINARY_MULTIPLY', 'COMPARE_OP')
18522: ('BUILD_CONST_KEY_MAP', 'RETURN_VALUE')
