65171: ('BINARY_SUBSCR', 'CALL_FUNCTION')
57857: ('POP_TOP', 'JUMP_FORWARD')
56080: ('CALL_FUNCTION', 'CALL_METHOD')
54240: ('CALL_FUNCTION_KW', 'BUILD_LIST')
52280: ('CALL_FUNCTION_KW', 'LOAD_CONST')
44180: ('JUMP_IF_TRUE_OR_POP', 'STORE_FAST')
42463: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
41854: ('CALL_METHOD', 'LOAD_ATTR')
41017: ('LOAD_NAME', 'LOAD_NAME')
38720: ('CONTAINS_OP', 'POP_JUMP_IF_TRUE')
33624: ('LOAD_ATTR', 'CONTAINS_OP')
32790: ('STORE_ATTR', 'JUMP_FORWARD')
32404: ('CALL_METHOD', 'CALL_FUNCTION')
30671: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
30440: ('BUILD_CONST_KEY_MAP', 'LOAD_FAST')
27463: ('JUMP_FORWARD', 'STORE_FAST')
26340: ('JUMP_IF_TRUE_OR_POP', 'BINARY_ADD')
24200: ('CALL_FUNCTION', 'BUILD_TUPLE')
22846: ('LOAD_GLOBAL', 'LOAD_DEREF')
22633: ('BUILD_TUPLE', 'LIST_APPEND')
18767: ('LOAD_FAST', 'CALL_FUNCTION_EX')
18601: ('CALL_FUNCTION_EX', 'CALL_METHOD')
18540: ('LOAD_ATTR', 'BINARY_SUBSCR')
17521: ('LOAD_CONST', 'DUP_TOP')
17514: ('POP_BLOCK', 'JUMP_FORWARD')
16878: ('BUILD_TUPLE', 'CALL_METHOD')
16504: ('LOAD_ATTR', 'STORE_ATTR')
16408: ('STORE_FAST', 'POP_BLOCK')
16389: ('CALL_METHOD', 'LOAD_METHOD')
16340: ('DUP_TOP', 'LOAD_FAST')
16340: ('CALL_FUNCTION_KW', 'POP_JUMP_IF_FALSE')
15830: ('LOAD_CONST', 'LOAD_METHOD')
15539: ('STORE_SUBSCR', 'EXTENDED_ARG')
15471: ('JUMP_FORWARD', 'LOAD_GLOBAL')
15163: ('BUILD_TUPLE', 'RETURN_VALUE')
14340: ('BINARY_SUBSCR', 'POP_JUMP_IF_FALSE')
14302: ('STORE_NAME', 'LOAD_NAME')
13823: ('LOAD_NAME', 'STORE_SUBSCR')
13671: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
13597: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
13321: ('STORE_NAME', 'STORE_NAME')
13305: ('UNPACK_SEQUENCE', 'STORE_NAME')
13294: ('BINARY_SUBSCR', 'LOAD_NAME')
13104: ('LOAD_NAME', 'CONTAINS_OP')
13101: ('LOAD_NAME', 'BINARY_SUBSCR')
12573: ('LOAD_FAST', 'BUILD_TUPLE')
12506: ('POP_JUMP_IF_FALSE', 'LOAD_NAME')
11810: ('BINARY_SUBSCR', 'BUILD_TUPLE')
11750: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
8050: ('EXTENDED_ARG', 'FOR_ITER')
7175: ('LOAD_GLOBAL', 'IS_OP')
6735: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
6464: ('POP_TOP', 'LOAD_GLOBAL')
5900: ('BINARY_ADD', 'JUMP_FORWARD')
5900: ('BUILD_LIST', 'BINARY_ADD')
5310: ('STORE_FAST', 'SETUP_FINALLY')
4951: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
4822: ('POP_JUMP_IF_FALSE', 'POP_TOP')
4782: ('STORE_SUBSCR', 'LOAD_GLOBAL')
3888: ('CALL_METHOD', 'LIST_APPEND')
3545: ('LOAD_GLOBAL', 'CALL_METHOD')
3495: ('STORE_NAME', 'LOAD_CONST')
3450: ('LOAD_GLOBAL', 'STORE_FAST')
3443: ('LOAD_FAST', 'BINARY_ADD')
3286: ('SETUP_FINALLY', 'LOAD_GLOBAL')
2949: ('LOAD_GLOBAL', 'CONTAINS_OP')
2939: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
2694: ('LOAD_ATTR', 'COMPARE_OP')
2462: ('BUILD_TUPLE', 'STORE_FAST')
2355: ('LOAD_CONST', 'LOAD_GLOBAL')
2236: ('BINARY_SUBSCR', 'RETURN_VALUE')
2220: ('JUMP_FORWARD', 'JUMP_IF_TRUE_OR_POP')
2095: ('MAKE_FUNCTION', 'STORE_NAME')
2062: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
1948: ('BINARY_ADD', 'CALL_FUNCTION')
1895: ('CALL_FUNCTION_KW', 'POP_TOP')
1680: ('BINARY_MODULO', 'LOAD_FAST')
1477: ('LOAD_GLOBAL', 'BINARY_AND')
1472: ('CALL_FUNCTION', 'CALL_FUNCTION')
1470: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
1468: ('BUILD_MAP', 'LOAD_FAST')
1441: ('LOAD_GLOBAL', 'LOAD_CONST')
1410: ('STORE_ATTR', 'LOAD_GLOBAL')
1307: ('GET_ITER', 'EXTENDED_ARG')
1242: ('BUILD_TUPLE', 'BINARY_MODULO')
1209: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
1196: ('LOAD_FAST', 'BUILD_SLICE')
1190: ('LOAD_NAME', 'LOAD_CONST')
1096: ('BINARY_SUBTRACT', 'LOAD_FAST')
1089: ('MAKE_FUNCTION', 'STORE_FAST')
1056: ('STORE_FAST', 'LOAD_DEREF')
1033: ('JUMP_FORWARD', 'JUMP_ABSOLUTE')
971: ('LOAD_CONST', 'STORE_NAME')
967: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
960: ('LOAD_FAST', 'BINARY_MODULO')
940: ('BINARY_AND', 'POP_JUMP_IF_FALSE')
887: ('LOAD_FAST', 'INPLACE_ADD')
860: ('BUILD_LIST', 'JUMP_FORWARD')
850: ('BUILD_TUPLE', 'LOAD_CONST')
811: ('STORE_ATTR', 'BUILD_MAP')
802: ('CALL_FUNCTION', 'LOAD_GLOBAL')
790: ('STORE_SUBSCR', 'LOAD_NAME')
753: ('POP_BLOCK', 'RETURN_VALUE')
735: ('FOR_ITER', 'LOAD_GLOBAL')
721: ('MAKE_FUNCTION', 'LOAD_CONST')
713: ('CALL_METHOD', 'UNPACK_SEQUENCE')
712: ('BINARY_SUBTRACT', 'RETURN_VALUE')
712: ('CALL_FUNCTION', 'BINARY_SUBTRACT')
699: ('LOAD_GLOBAL', 'BUILD_TUPLE')
692: ('BUILD_MAP', 'LOAD_NAME')
692: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
674: ('LOAD_GLOBAL', 'COMPARE_OP')
663: ('COMPARE_OP', 'JUMP_IF_FALSE_OR_POP')
657: ('EXTENDED_ARG', 'JUMP_FORWARD')
651: ('BUILD_TUPLE', 'LOAD_FAST')
644: ('DUP_TOP', 'DUP_TOP')
644: ('DUP_TOP', 'CALL_FUNCTION')
644: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
635: ('CALL_FUNCTION', 'STORE_NAME')
627: ('LOAD_FAST', 'LOAD_DEREF')
599: ('CALL_METHOD', 'GET_ITER')
590: ('LOAD_CLOSURE', 'BUILD_TUPLE')
585: ('POP_BLOCK', 'LOAD_CONST')
585: ('STORE_ATTR', 'POP_BLOCK')
584: ('EXTENDED_ARG', 'SETUP_FINALLY')
583: ('SET_ADD', 'JUMP_ABSOLUTE')
582: ('SETUP_WITH', 'POP_TOP')
577: ('LOAD_FAST', 'UNPACK_SEQUENCE')
565: ('POP_TOP', 'POP_TOP')
561: ('CALL_METHOD', 'SET_ADD')
537: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
534: ('DUP_TOP', 'STORE_FAST')
534: ('BINARY_SUBTRACT', 'CALL_FUNCTION')
511: ('JUMP_FORWARD', 'POP_BLOCK')
509: ('BINARY_SUBSCR', 'POP_BLOCK')
507: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
504: ('LOAD_METHOD', 'BUILD_LIST')
500: ('BUILD_TUPLE', 'BUILD_TUPLE')
