6920: ('LOAD_FAST', 'FORMAT_VALUE')
6893: ('LOAD_FAST', 'INPLACE_ADD')
6836: ('BINARY_SUBTRACT', 'JUMP_FORWARD')
6805: ('EXTENDED_ARG', 'SETUP_FINALLY')
6799: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
6772: ('LOAD_NAME', 'CALL_FUNCTION')
6736: ('CALL_FUNCTION', 'YIELD_VALUE')
6665: ('LOAD_NAME', 'LOAD_ATTR')
6609: ('LOAD_FAST', 'DELETE_SUBSCR')
6573: ('BINARY_MODULO', 'STORE_FAST')
6557: ('LOAD_ATTR', 'EXTENDED_ARG')
6546: ('BUILD_TUPLE', 'YIELD_VALUE')
6480: ('POP_BLOCK', 'LOAD_FAST')
6246: ('CONTAINS_OP', 'STORE_FAST')
6231: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
6133: ('LOAD_ATTR', 'STORE_DEREF')
5904: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
5879: ('LIST_TO_TUPLE', 'BUILD_MAP')
5835: ('CALL_FUNCTION_KW', 'CALL_METHOD')
5785: ('JUMP_IF_FALSE_OR_POP', 'STORE_FAST')
5682: ('LOAD_GLOBAL', 'RETURN_VALUE')
5608: ('LOAD_DEREF', 'BINARY_SUBTRACT')
5566: ('LOAD_CONST', 'BINARY_AND')
5532: ('LOAD_CONST', 'BUILD_TUPLE')
5497: ('GET_ITER', 'EXTENDED_ARG')
5476: ('LOAD_ATTR', 'DICT_MERGE')
5435: ('STORE_NAME', 'POP_TOP')
5429: ('SETUP_FINALLY', 'LOAD_DEREF')
5337: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
5325: ('COMPARE_OP', 'POP_BLOCK')
5241: ('CALL_METHOD', 'JUMP_IF_TRUE_OR_POP')
5180: ('MAKE_FUNCTION', 'CALL_FUNCTION')
5165: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
5164: ('BINARY_SUBSCR', 'UNPACK_SEQUENCE')
5122: ('CONTAINS_OP', 'JUMP_IF_TRUE_OR_POP')
5074: ('POP_JUMP_IF_TRUE', 'SETUP_FINALLY')
5012: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
4994: ('BINARY_SUBSCR', 'DUP_TOP')
4992: ('EXTENDED_ARG', 'LOAD_CONST')
4931: ('ROT_FOUR', 'POP_EXCEPT')
4931: ('POP_EXCEPT', 'RETURN_VALUE')
4901: ('FORMAT_VALUE', 'BUILD_STRING')
4842: ('ROT_TWO', 'POP_TOP')
4815: ('LOAD_DEREF', 'LOAD_GLOBAL')
