129060: ('<0>', 'LOAD_DEREF')
128600: ('ROT_TWO', 'STORE_FAST')
127641: ('LOAD_ATTR', 'IS_OP')
124631: ('POP_JUMP_IF_FALSE', 'LOAD_CLOSURE')
121901: ('CALL_FUNCTION', 'DUP_TOP')
120459: ('BUILD_TUPLE', 'CALL_METHOD')
116175: ('POP_BLOCK', 'JUMP_ABSOLUTE')
116048: ('STORE_SUBSCR', 'LOAD_CONST')
115638: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
110854: ('JUMP_FORWARD', 'LOAD_GLOBAL')
110503: ('BINARY_SUBSCR', 'COMPARE_OP')
110095: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
109944: ('BINARY_ADD', 'STORE_FAST')
108275: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
106151: ('STORE_FAST', 'POP_TOP')
101705: ('POP_TOP', 'STORE_FAST')
101705: ('STORE_FAST', 'DELETE_FAST')
101453: ('LOAD_GLOBAL', 'CALL_METHOD')
101142: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
100318: ('LOAD_DEREF', 'CONTAINS_OP')
98509: ('STORE_DEREF', 'LOAD_FAST')
93278: ('BINARY_SUBSCR', 'POP_BLOCK')
91871: ('STORE_SUBSCR', 'LOAD_FAST')
91506: ('BINARY_SUBSCR', 'DUP_TOP')
90880: ('STORE_ATTR', 'SETUP_FINALLY')
89487: ('LOAD_FAST', 'GET_YIELD_FROM_ITER')
88895: ('STORE_ATTR', 'BUILD_LIST')
87939: ('STORE_FAST', 'EXTENDED_ARG')
86797: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
86518: ('CALL_FUNCTION', 'STORE_DEREF')
86386: ('LOAD_FAST', 'BUILD_SLICE')
86080: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
84951: ('ROT_THREE', 'ROT_TWO')
84174: ('LOAD_FAST', 'BUILD_SET')
84102: ('LOAD_DEREF', 'LOAD_DEREF')
82239: ('DELETE_SUBSCR', 'JUMP_ABSOLUTE')
81996: ('POP_TOP', 'JUMP_FORWARD')
81971: ('SETUP_FINALLY', 'LOAD_CONST')
81408: ('LOAD_FAST', 'ROT_THREE')
80858: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
80524: ('LOAD_FAST', 'DELETE_ATTR')
79880: ('LOAD_GLOBAL', 'LOAD_CONST')
79804: ('COMPARE_OP', 'JUMP_IF_FALSE_OR_POP')
79649: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
79623: ('JUMP_IF_TRUE_OR_POP', 'LOAD_CONST')
78934: ('LOAD_CONST', 'DELETE_SUBSCR')
78700: ('BUILD_SET', 'STORE_FAST')
78560: ('CALL_METHOD', 'BUILD_TUPLE')
77772: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
77133: ('JUMP_ABSOLUTE', 'LOAD_CONST')
77052: ('LOAD_GLOBAL', 'COMPARE_OP')
76531: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
74996: ('JUMP_FORWARD', 'LIST_APPEND')
74910: ('BUILD_TUPLE', 'JUMP_FORWARD')
72601: ('BUILD_TUPLE', 'BINARY_SUBSCR')
72032: ('BUILD_TUPLE', 'RETURN_VALUE')
71867: ('EXTENDED_ARG', 'JUMP_IF_NOT_EXC_MATCH')
70250: ('POP_BLOCK', 'POP_EXCEPT')
70155: ('CALL_FUNCTION', 'LOAD_ATTR')
69897: ('CALL_METHOD', 'EXTENDED_ARG')
68801: ('BINARY_SUBSCR', 'BINARY_SUBSCR')
68170: ('LOAD_DEREF', 'BINARY_SUBSCR')
66917: ('POP_EXCEPT', 'JUMP_ABSOLUTE')
66637: ('LOAD_GLOBAL', 'LOAD_DEREF')
65865: ('LOAD_GLOBAL', 'EXTENDED_ARG')
