194239: ('LOAD_CONST', 'LOAD_METHOD')
192387: ('LOAD_GLOBAL', 'CALL_METHOD')
189177: ('SETUP_FINALLY', 'LOAD_DEREF')
188925: ('CONTAINS_OP', 'JUMP_IF_TRUE_OR_POP')
182944: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
182533: ('LOAD_ATTR', 'LOAD_DEREF')
182037: ('STORE_DEREF', 'JUMP_FORWARD')
179136: ('POP_JUMP_IF_TRUE', 'LOAD_DEREF')
178893: ('UNARY_NOT', 'STORE_FAST')
177511: ('LOAD_CONST', 'LOAD_DEREF')
176791: ('JUMP_FORWARD', 'SETUP_FINALLY')
173558: ('CALL_METHOD', 'LOAD_DEREF')
169832: ('EXTENDED_ARG', 'JUMP_FORWARD')
168833: ('POP_BLOCK', 'JUMP_ABSOLUTE')
163507: ('CALL_FUNCTION', 'DUP_TOP')
161180: ('BINARY_AND', 'POP_JUMP_IF_FALSE')
159365: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
158643: ('POP_TOP', 'SETUP_FINALLY')
157607: ('LOAD_ATTR', 'STORE_ATTR')
155305: ('INPLACE_ADD', 'STORE_FAST')
153472: ('CALL_FUNCTION_KW', 'SETUP_WITH')
151650: ('COMPARE_OP', 'LOAD_DEREF')
149088: ('LOAD_GLOBAL', 'RETURN_VALUE')
146925: ('CALL_FUNCTION_EX', 'LOAD_FAST')
145860: ('STORE_SUBSCR', 'EXTENDED_ARG')
144967: ('LOAD_FAST', 'UNARY_NEGATIVE')
143610: ('BINARY_ADD', 'CALL_METHOD')
143240: ('CONTAINS_OP', 'POP_BLOCK')
141593: ('EXTENDED_ARG', 'JUMP_IF_TRUE_OR_POP')
141540: ('UNARY_NEGATIVE', 'COMPARE_OP')
136157: ('LOAD_FAST', 'CONTAINS_OP')
133277: ('LIST_EXTEND', 'LIST_TO_TUPLE')
130563: ('POP_BLOCK', 'LOAD_CONST')
128113: ('LOAD_GLOBAL', 'BINARY_SUBSCR')
127193: ('IS_OP', 'STORE_FAST')
125561: ('<0>', 'BUILD_MAP')
124747: ('CALL_METHOD', 'LOAD_METHOD')
122851: ('POP_BLOCK', 'ROT_TWO')
122850: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
122666: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
122622: ('ROT_TWO', 'LOAD_CONST')
122387: ('CALL_FUNCTION', 'BINARY_SUBTRACT')
117951: ('LOAD_FAST', 'JUMP_IF_FALSE_OR_POP')
117503: ('BINARY_SUBSCR', 'LOAD_ATTR')
116743: ('STORE_FAST', 'LOAD_CLOSURE')
116504: ('CALL_FUNCTION', 'POP_BLOCK')
113514: ('POP_JUMP_IF_TRUE', 'SETUP_FINALLY')
113132: ('BUILD_CONST_KEY_MAP', 'LOAD_FAST')
112546: ('STORE_FAST', 'BUILD_LIST')
109587: ('LOAD_FAST', 'UNARY_NOT')
109098: ('LOAD_CONST', 'BINARY_MULTIPLY')
107964: ('CALL_METHOD', 'INPLACE_ADD')
106010: ('LOAD_ATTR', 'EXTENDED_ARG')
102804: ('CALL_FUNCTION', 'JUMP_FORWARD')
101757: ('LOAD_DEREF', 'POP_JUMP_IF_FALSE')
101147: ('CALL_FUNCTION', 'BINARY_AND')
101100: ('BINARY_AND', 'GET_ITER')
101100: ('LOAD_FAST', 'STORE_DEREF')
100371: ('CALL_METHOD', 'LOAD_ATTR')
99417: ('POP_JUMP_IF_TRUE', 'POP_BLOCK')
96490: ('LOAD_ATTR', 'BUILD_LIST')
94162: ('CALL_METHOD', 'POP_BLOCK')
93337: ('BINARY_SUBSCR', 'BINARY_MULTIPLY')
91343: ('BINARY_SUBTRACT', 'BINARY_MULTIPLY')
91341: ('CALL_METHOD', 'GET_ITER')
90990: ('BINARY_MULTIPLY', 'BUILD_LIST')
90977: ('CALL_FUNCTION', 'SETUP_WITH')
90032: ('STORE_FAST', 'EXTENDED_ARG')
89714: ('LIST_TO_TUPLE', 'CALL_FUNCTION_EX')
88773: ('IS_OP', 'POP_JUMP_IF_TRUE')
84380: ('LOAD_FAST', 'BUILD_SLICE')
84331: ('POP_JUMP_IF_TRUE', 'POP_TOP')
83541: ('CALL_FUNCTION_KW', 'LOAD_FAST')
81125: ('CALL_METHOD', 'EXTENDED_ARG')
80997: ('CALL_METHOD', 'BUILD_TUPLE')
80056: ('CALL_FUNCTION', 'BUILD_TUPLE')
79982: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
79595: ('BINARY_ADD', 'LOAD_CONST')
78403: ('CALL_METHOD', 'CALL_METHOD')
77809: ('JUMP_FORWARD', 'BUILD_LIST')
77788: ('BUILD_CONST_KEY_MAP', 'STORE_FAST')
76961: ('BINARY_SUBSCR', 'BINARY_ADD')
76647: ('ROT_TWO', 'POP_TOP')
75538: ('COMPARE_OP', 'STORE_FAST')
74384: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
74374: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
74265: ('LOAD_DEREF', 'BINARY_ADD')
74210: ('CALL_METHOD', 'STORE_DEREF')
74185: ('BINARY_SUBSCR', 'POP_JUMP_IF_FALSE')
74158: ('CALL_FUNCTION', 'BUILD_LIST')
74148: ('BINARY_ADD', 'LIST_APPEND')
74140: ('BUILD_SLICE', 'LOAD_FAST')
73951: ('LOAD_FAST', 'ROT_TWO')
72468: ('COMPARE_OP', 'LOAD_FAST')
71131: ('BINARY_SUBSCR', 'BINARY_SUBSCR')
70905: ('BINARY_ADD', 'JUMP_FORWARD')
70800: ('BUILD_TUPLE', 'LOAD_GLOBAL')
70772: ('CALL_FUNCTION_KW', 'LIST_APPEND')
70770: ('UNARY_NOT', 'POP_BLOCK')
70770: ('BUILD_LIST', 'LOAD_CLOSURE')
70770: ('BUILD_LIST', 'LIST_APPEND')
70770: ('STORE_FAST', 'UNPACK_SEQUENCE')
70770: ('CALL_FUNCTION', 'LIST_EXTEND')
69093: ('IS_OP', 'YIELD_VALUE')
68949: ('JUMP_IF_FALSE_OR_POP', 'STORE_FAST')
68478: ('STORE_ATTR', 'BUILD_MAP')
66536: ('LOAD_CONST', 'BINARY_SUBTRACT')
64801: ('LOAD_ATTR', 'LIST_APPEND')
64198: ('CONTAINS_OP', 'JUMP_IF_FALSE_OR_POP')
64186: ('LOAD_DEREF', 'FORMAT_VALUE')
64098: ('CALL_FUNCTION_KW', 'UNPACK_SEQUENCE')
63542: ('JUMP_FORWARD', 'STORE_FAST')
63254: ('LOAD_CONST', 'BUILD_TUPLE')
62345: ('COMPARE_OP', 'LOAD_METHOD')
62185: ('LOAD_FAST', 'LIST_EXTEND')
60980: ('JUMP_FORWARD', 'LOAD_DEREF')
59522: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
58975: ('COMPARE_OP', 'POP_BLOCK')
57387: ('BINARY_SUBTRACT', 'STORE_FAST')
57326: ('LOAD_DEREF', 'RETURN_VALUE')
56954: ('LOAD_METHOD', 'LOAD_CLOSURE')
55244: ('FOR_ITER', 'LOAD_GLOBAL')
55007: ('BUILD_TUPLE', 'STORE_FAST')
54313: ('BUILD_STRING', 'CALL_METHOD')
54146: ('BUILD_TUPLE', 'CALL_METHOD')
53955: ('LOAD_ATTR', 'UNARY_NEGATIVE')
53931: ('LOAD_DEREF', 'STORE_DEREF')
53928: ('JUMP_FORWARD', 'LOAD_CLOSURE')
