82: ('STORE_FAST', 'BUILD_LIST')
81: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
79: ('STORE_SUBSCR', 'LOAD_GLOBAL')
79: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
78: ('BUILD_TUPLE', 'YIELD_VALUE')
75: ('BINARY_AND', 'LOAD_CONST')
75: ('POP_BLOCK', 'RETURN_VALUE')
74: ('BINARY_SUBTRACT', 'LOAD_FAST')
73: ('GET_ITER', 'EXTENDED_ARG')
73: ('LOAD_FAST', 'MAP_ADD')
72: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
71: ('LOAD_FAST', 'LIST_EXTEND')
70: ('LOAD_CONST', 'BINARY_SUBTRACT')
70: ('CALL_FUNCTION_EX', 'STORE_FAST')
69: ('BINARY_MODULO', 'STORE_FAST')
67: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
66: ('POP_JUMP_IF_FALSE', 'LOAD_NAME')
66: ('CALL_FUNCTION_KW', 'STORE_FAST')
64: ('LOAD_ATTR', 'BUILD_LIST')
60: ('LOAD_NAME', 'BUILD_TUPLE')
60: ('CALL_FUNCTION', 'BUILD_TUPLE')
58: ('BINARY_ADD', 'STORE_SUBSCR')
58: ('BUILD_LIST', 'COMPARE_OP')
58: ('CALL_METHOD', 'ROT_TWO')
57: ('LOAD_DEREF', 'LOAD_ATTR')
57: ('SETUP_WITH', 'STORE_FAST')
56: ('STORE_NAME', 'IMPORT_FROM')
56: ('CALL_METHOD', 'SETUP_WITH')
55: ('COMPARE_OP', 'STORE_FAST')
54: ('LIST_TO_TUPLE', 'BUILD_MAP')
54: ('BUILD_CONST_KEY_MAP', 'RETURN_VALUE')
54: ('BUILD_CONST_KEY_MAP', 'STORE_FAST')
54: ('CALL_METHOD', 'POP_BLOCK')
53: ('POP_JUMP_IF_FALSE', 'POP_TOP')
51: ('JUMP_FORWARD', 'JUMP_ABSOLUTE')
51: ('STORE_FAST', 'EXTENDED_ARG')
50: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
49: ('LOAD_CONST', 'BINARY_MULTIPLY')
49: ('CALL_FUNCTION', 'LOAD_GLOBAL')
48: ('LOAD_CONST', 'BUILD_MAP')
46: ('BINARY_ADD', 'CALL_METHOD')
46: ('BINARY_SUBSCR', 'UNPACK_SEQUENCE')
46: ('LOAD_NAME', 'EXTENDED_ARG')
46: ('BUILD_TUPLE', 'BUILD_MAP')
46: ('LOAD_ATTR', 'BINARY_ADD')
45: ('POP_BLOCK', 'JUMP_ABSOLUTE')
45: ('UNPACK_SEQUENCE', 'STORE_DEREF')
45: ('BUILD_MAP', 'CALL_METHOD')
45: ('LOAD_ATTR', 'STORE_NAME')
45: ('POP_JUMP_IF_FALSE', 'JUMP_FORWARD')
44: ('BUILD_TUPLE', 'CALL_METHOD')
44: ('LOAD_FAST', 'CALL_FUNCTION_EX')
44: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
44: ('STORE_DEREF', 'STORE_FAST')
43: ('EXTENDED_ARG', 'SETUP_FINALLY')
42: ('BUILD_TUPLE', 'LOAD_NAME')
42: ('BUILD_TUPLE', 'BUILD_TUPLE')
41: ('LOAD_CONST', 'BUILD_LIST')
41: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
40: ('BINARY_SUBTRACT', 'RETURN_VALUE')
40: ('CALL_FUNCTION', 'BINARY_SUBTRACT')
39: ('JUMP_IF_TRUE_OR_POP', 'RETURN_VALUE')
39: ('LOAD_FAST', 'BINARY_AND')
39: ('LOAD_METHOD', 'LOAD_CLOSURE')
38: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
38: ('LOAD_DEREF', 'LOAD_DEREF')
37: ('BUILD_TUPLE', 'LOAD_FAST')
37: ('BUILD_LIST', 'LOAD_CONST')
37: ('JUMP_FORWARD', 'POP_BLOCK')
36: ('BINARY_MULTIPLY', 'LOAD_FAST')
36: ('BINARY_MULTIPLY', 'CALL_METHOD')
36: ('BINARY_SUBSCR', 'CALL_METHOD')
36: ('STORE_SUBSCR', 'JUMP_FORWARD')
36: ('STORE_NAME', 'LOAD_CLOSURE')
36: ('LOAD_CONST', 'EXTENDED_ARG')
36: ('LOAD_GLOBAL', 'LOAD_DEREF')
36: ('LOAD_FAST', 'BINARY_MULTIPLY')
36: ('LOAD_FAST', 'YIELD_VALUE')
35: ('POP_JUMP_IF_TRUE', 'LOAD_DEREF')
35: ('STORE_DEREF', 'LOAD_DEREF')
34: ('DUP_TOP', 'STORE_NAME')
34: ('POP_EXCEPT', 'JUMP_ABSOLUTE')
34: ('LOAD_NAME', 'STORE_SUBSCR')
34: ('BUILD_TUPLE', 'STORE_FAST')
33: ('FOR_ITER', 'STORE_DEREF')
33: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
33: ('CALL_FUNCTION', 'MAP_ADD')
32: ('BUILD_LIST', 'STORE_NAME')
32: ('LOAD_DEREF', 'BINARY_SUBTRACT')
31: ('LOAD_CONST', 'LIST_EXTEND')
30: ('LIST_TO_TUPLE', 'CALL_FUNCTION_EX')
30: ('STORE_NAME', 'BUILD_LIST')
30: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
30: ('LOAD_DEREF', 'CONTAINS_OP')
29: ('BINARY_AND', 'POP_JUMP_IF_TRUE')
28: ('JUMP_FORWARD', 'EXTENDED_ARG')
27: ('POP_TOP', 'LOAD_BUILD_CLASS')
27: ('DUP_TOP', 'STORE_FAST')
27: ('BINARY_SUBTRACT', 'CALL_FUNCTION')
27: ('BINARY_SUBSCR', 'YIELD_VALUE')
27: ('LOAD_FAST', 'FORMAT_VALUE')
26: ('FOR_ITER', 'POP_BLOCK')
25: ('STORE_NAME', 'SETUP_FINALLY')
25: ('LOAD_GLOBAL', 'RETURN_VALUE')
25: ('LOAD_FAST', 'UNARY_NOT')
25: ('CALL_METHOD', 'STORE_NAME')
25: ('LIST_EXTEND', 'STORE_NAME')
24: ('BINARY_ADD', 'MAP_ADD')
24: ('CALL_FUNCTION', 'BINARY_ADD')
23: ('BINARY_SUBTRACT', 'LOAD_CONST')
23: ('STORE_SUBSCR', 'LOAD_NAME')
23: ('BINARY_AND', 'EXTENDED_ARG')
23: ('STORE_NAME', 'EXTENDED_ARG')
22: ('BINARY_SUBSCR', 'GET_ITER')
22: ('BINARY_OR', 'LOAD_FAST')
22: ('BUILD_CONST_KEY_MAP', 'LOAD_CONST')
21: ('LOAD_CONST', 'GET_ITER')
21: ('BUILD_MAP', 'STORE_NAME')
21: ('FORMAT_VALUE', 'LOAD_CONST')
20: ('<0>', 'BUILD_SET')
20: ('POP_TOP', 'JUMP_IF_FALSE_OR_POP')
20: ('BINARY_ADD', 'INPLACE_ADD')
20: ('BINARY_SUBSCR', 'INPLACE_ADD')
20: ('STORE_NAME', 'STORE_NAME')
20: ('BUILD_SET', 'LOAD_FAST')
20: ('LOAD_ATTR', 'BINARY_OR')
20: ('JUMP_IF_FALSE_OR_POP', 'ROT_TWO')
20: ('LOAD_FAST', 'BINARY_OR')
19: ('LOAD_ATTR', 'BUILD_TUPLE')
19: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
19: ('LOAD_GLOBAL', 'BINARY_SUBSCR')
18: ('BINARY_MULTIPLY', 'BINARY_ADD')
18: ('BINARY_SUBTRACT', 'STORE_FAST')
18: ('BINARY_SUBSCR', 'BINARY_MULTIPLY')
18: ('STORE_NAME', 'RETURN_VALUE')
18: ('LOAD_CLOSURE', 'DUP_TOP')
18: ('LOAD_DEREF', 'CALL_FUNCTION')
17: ('BINARY_SUBSCR', 'MAP_ADD')
17: ('DELETE_SUBSCR', 'JUMP_ABSOLUTE')
17: ('STORE_GLOBAL', 'LOAD_CONST')
17: ('LOAD_CONST', 'STORE_SUBSCR')
17: ('JUMP_FORWARD', 'LOAD_DEREF')
17: ('LOAD_FAST', 'UNARY_INVERT')
17: ('LOAD_FAST', 'UNPACK_SEQUENCE')
17: ('CALL_FUNCTION_EX', 'LOAD_FAST')
16: ('LOAD_CONST', 'LOAD_DEREF')
16: ('JUMP_FORWARD', 'LOAD_NAME')
15: ('BINARY_SUBSCR', 'POP_BLOCK')
15: ('BINARY_SUBSCR', 'LOAD_METHOD')
15: ('DELETE_NAME', 'DELETE_NAME')
15: ('STORE_ATTR', 'BUILD_MAP')
15: ('POP_JUMP_IF_TRUE', 'JUMP_ABSOLUTE')
14: ('STORE_SUBSCR', 'POP_EXCEPT')
14: ('FOR_ITER', 'BUILD_LIST')
14: ('LOAD_NAME', 'BUILD_MAP')
14: ('BUILD_LIST', 'LOAD_DEREF')
14: ('FORMAT_VALUE', 'BUILD_STRING')
14: ('LOAD_METHOD', 'LOAD_DEREF')
13: ('<0>', 'LOAD_CLOSURE')
13: ('STORE_NAME', 'BUILD_MAP')
13: ('LOAD_CONST', 'LOAD_ATTR')
