14739: ('STORE_ATTR', 'SETUP_FINALLY')
14461: ('STORE_ATTR', 'BUILD_LIST')
14414: ('DUP_TOP', 'LOAD_FAST')
14407: ('ROT_FOUR', 'POP_EXCEPT')
14407: ('POP_EXCEPT', 'RETURN_VALUE')
14405: ('LOAD_CONST', 'JUMP_FORWARD')
14404: ('LOAD_FAST', 'ROT_FOUR')
14180: ('BUILD_TUPLE', 'LOAD_CONST')
14132: ('LOAD_GLOBAL', 'STORE_FAST')
14007: ('POP_EXCEPT', 'LOAD_CONST')
13880: ('ROT_TWO', 'POP_TOP')
13724: ('CALL_FUNCTION', 'POP_BLOCK')
13521: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
13442: ('BINARY_ADD', 'CALL_METHOD')
13191: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
13190: ('BUILD_TUPLE', 'CALL_METHOD')
13175: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
13146: ('FOR_ITER', 'JUMP_FORWARD')
13014: ('STORE_ATTR', 'JUMP_FORWARD')
12835: ('LOAD_FAST', 'BUILD_SLICE')
12650: ('LOAD_ATTR', 'BUILD_TUPLE')
12600: ('CALL_FUNCTION_KW', 'LOAD_FAST')
12073: ('CALL_METHOD', 'LIST_APPEND')
11960: ('LOAD_CLOSURE', 'BUILD_TUPLE')
11853: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
11679: ('ROT_THREE', 'COMPARE_OP')
11679: ('DUP_TOP', 'ROT_THREE')
11349: ('JUMP_FORWARD', 'SETUP_FINALLY')
11288: ('STORE_SUBSCR', 'LOAD_FAST')
11235: ('LOAD_FAST', 'LOAD_DEREF')
11192: ('ROT_TWO', 'STORE_FAST')
11049: ('STORE_SUBSCR', 'JUMP_FORWARD')
11029: ('BINARY_ADD', 'STORE_SUBSCR')
10835: ('<0>', 'BUILD_MAP')
10807: ('LOAD_CONST', 'RAISE_VARARGS')
10803: ('LOAD_FAST', 'DELETE_ATTR')
10800: ('BUILD_CONST_KEY_MAP', 'LOAD_FAST')
10138: ('CONTAINS_OP', 'EXTENDED_ARG')
9935: ('STORE_FAST', 'LOAD_DEREF')
9881: ('CALL_FUNCTION', 'LOAD_ATTR')
9633: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
9445: ('MAKE_FUNCTION', 'STORE_FAST')
9229: ('CALL_METHOD', 'ROT_TWO')
9040: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
9004: ('POP_JUMP_IF_TRUE', 'POP_BLOCK')
8873: ('CALL_FUNCTION', 'LIST_APPEND')
8538: ('JUMP_FORWARD', 'POP_BLOCK')
8138: ('STORE_FAST', 'BUILD_LIST')
7903: ('STORE_FAST', 'EXTENDED_ARG')
7882: ('CALL_METHOD', 'DUP_TOP')
7648: ('BUILD_LIST', 'CALL_METHOD')
7583: ('CALL_METHOD', 'POP_BLOCK')
7503: ('SETUP_FINALLY', 'SETUP_FINALLY')
7498: ('LOAD_DEREF', 'CALL_FUNCTION')
7491: ('GET_ITER', 'EXTENDED_ARG')
7472: ('CONTAINS_OP', 'STORE_FAST')
7425: ('CALL_FUNCTION_EX', 'LOAD_FAST')
7372: ('BUILD_TUPLE', 'LIST_APPEND')
7263: ('BINARY_SUBSCR', 'YIELD_VALUE')
7261: ('LOAD_ATTR', 'IS_OP')
7259: ('JUMP_IF_TRUE_OR_POP', 'STORE_FAST')
7248: ('LOAD_ATTR', 'BINARY_ADD')
7238: ('CALL_METHOD', 'BINARY_ADD')
7225: ('FOR_ITER', 'POP_BLOCK')
7220: ('LOAD_ATTR', 'LOAD_DEREF')
7206: ('CALL_FUNCTION', 'STORE_SUBSCR')
7202: ('DELETE_ATTR', 'LOAD_FAST')
7201: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
7200: ('IS_OP', 'RETURN_VALUE')
7200: ('CALL_FUNCTION_EX', 'UNPACK_SEQUENCE')
7200: ('CALL_METHOD', 'CALL_FUNCTION_EX')
6972: ('EXTENDED_ARG', 'SETUP_FINALLY')
6914: ('STORE_NAME', 'LOAD_CONST')
6763: ('LOAD_NAME', 'LOAD_METHOD')
6145: ('MAP_ADD', 'JUMP_ABSOLUTE')
6115: ('BUILD_TUPLE', 'BINARY_MODULO')
6082: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
6061: ('MAKE_FUNCTION', 'LOAD_CONST')
5949: ('STORE_SUBSCR', 'EXTENDED_ARG')
5878: ('BINARY_ADD', 'LOAD_CONST')
5699: ('INPLACE_SUBTRACT', 'ROT_TWO')
5680: ('CALL_METHOD', 'LOAD_GLOBAL')
5662: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
5637: ('CALL_FUNCTION', 'COMPARE_OP')
5621: ('JUMP_IF_FALSE_OR_POP', 'STORE_FAST')
5611: ('COMPARE_OP', 'STORE_FAST')
5507: ('LOAD_ATTR', 'STORE_ATTR')
5496: ('SETUP_FINALLY', 'LOAD_CONST')
5438: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
5437: ('BUILD_MAP', 'CALL_FUNCTION')
5407: ('CALL_METHOD', 'JUMP_IF_TRUE_OR_POP')
5405: ('EXTENDED_ARG', 'JUMP_IF_TRUE_OR_POP')
5401: ('BUILD_LIST', 'ROT_TWO')
5401: ('LOAD_GLOBAL', 'POP_JUMP_IF_TRUE')
5401: ('CALL_METHOD', 'COMPARE_OP')
5400: ('BINARY_SUBSCR', 'POP_JUMP_IF_FALSE')
5400: ('BUILD_LIST', 'MAP_ADD')
5400: ('IMPORT_FROM', 'STORE_FAST')
5400: ('IS_OP', 'JUMP_IF_TRUE_OR_POP')
5244: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
4891: ('STORE_FAST', 'POP_TOP')
4862: ('STORE_NAME', 'LOAD_NAME')
4733: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
4661: ('LOAD_CONST', 'IMPORT_NAME')
4461: ('BINARY_ADD', 'CALL_FUNCTION')
4146: ('IMPORT_NAME', 'IMPORT_FROM')
4117: ('LIST_EXTEND', 'LIST_TO_TUPLE')
4104: ('LOAD_NAME', 'LOAD_CONST')
4092: ('LOAD_FAST', 'LIST_EXTEND')
4010: ('BINARY_SUBSCR', 'BINARY_ADD')
3984: ('EXTENDED_ARG', 'JUMP_FORWARD')
3958: ('CALL_METHOD', 'EXTENDED_ARG')
3953: ('MAKE_FUNCTION', 'STORE_NAME')
3864: ('LOAD_ATTR', 'EXTENDED_ARG')
3808: ('CALL_METHOD', 'SETUP_WITH')
3806: ('LIST_TO_TUPLE', 'BUILD_MAP')
3734: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
3731: ('CALL_METHOD', 'LOAD_ATTR')
3671: ('JUMP_IF_TRUE_OR_POP', 'RETURN_VALUE')
3662: ('LOAD_CONST', 'GET_ITER')
3647: ('LOAD_GLOBAL', 'BINARY_AND')
3629: ('STORE_FAST', 'BUILD_MAP')
3627: ('<0>', 'LOAD_CLOSURE')
3624: ('POP_JUMP_IF_TRUE', 'JUMP_FORWARD')
3619: ('POP_JUMP_IF_TRUE', 'RERAISE')
3618: ('WITH_EXCEPT_START', 'POP_JUMP_IF_TRUE')
3615: ('LOAD_ATTR', 'STORE_DEREF')
3612: ('LOAD_GLOBAL', 'EXTENDED_ARG')
3606: ('JUMP_FORWARD', 'LOAD_CLOSURE')
3604: ('BUILD_LIST', 'CALL_FUNCTION')
3603: ('ROT_THREE', 'ROT_TWO')
3601: ('ROT_TWO', 'LOAD_FAST')
3601: ('BINARY_ADD', 'EXTENDED_ARG')
3601: ('BINARY_SUBSCR', 'POP_TOP')
3601: ('DELETE_ATTR', 'SETUP_FINALLY')
3601: ('BUILD_LIST', 'RETURN_VALUE')
3601: ('LOAD_ATTR', 'POP_TOP')
3601: ('LOAD_FAST', 'ROT_THREE')
3601: ('LOAD_DEREF', 'STORE_SUBSCR')
3600: ('STORE_SUBSCR', 'LOAD_CLOSURE')
3600: ('LOAD_CONST', 'ROT_TWO')
3600: ('LOAD_CONST', 'YIELD_VALUE')
3600: ('BUILD_MAP', 'JUMP_FORWARD')
3600: ('JUMP_FORWARD', 'BUILD_MAP')
3600: ('JUMP_IF_TRUE_OR_POP', 'BINARY_ADD')
3600: ('LOAD_GLOBAL', 'BUILD_MAP')
3600: ('LOAD_GLOBAL', 'RAISE_VARARGS')
3600: ('CONTAINS_OP', 'LOAD_FAST')
3600: ('STORE_DEREF', 'JUMP_FORWARD')
3600: ('CALL_FUNCTION_KW', 'DUP_TOP')
3600: ('CALL_FUNCTION_EX', 'CALL_FUNCTION')
3600: ('CALL_METHOD', 'JUMP_FORWARD')
3493: ('POP_TOP', 'EXTENDED_ARG')
3336: ('STORE_ATTR', 'POP_BLOCK')
3295: ('LOAD_FAST', 'BINARY_SUBTRACT')
3198: ('FOR_ITER', 'STORE_NAME')
3091: ('LOAD_NAME', 'LOAD_NAME')
3057: ('LOAD_DEREF', 'LOAD_GLOBAL')
2989: ('BINARY_SUBTRACT', 'LOAD_FAST')
2989: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
2965: ('LOAD_METHOD', 'LOAD_NAME')
2935: ('DUP_TOP', 'STORE_FAST')
2851: ('CALL_FUNCTION', 'SETUP_WITH')
2645: ('STORE_SUBSCR', 'SETUP_FINALLY')
2455: ('BINARY_SUBTRACT', 'STORE_FAST')
2434: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
2375: ('STORE_SUBSCR', 'POP_BLOCK')
2318: ('JUMP_FORWARD', 'JUMP_ABSOLUTE')
2311: ('CALL_FUNCTION', 'INPLACE_ADD')
2283: ('LOAD_FAST', 'ROT_TWO')
2282: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
2251: ('LOAD_CONST', 'BUILD_MAP')
2216: ('LOAD_CONST', 'STORE_NAME')
2208: ('LOAD_FAST', 'JUMP_FORWARD')
2189: ('BINARY_MODULO', 'STORE_FAST')
2162: ('POP_TOP', 'LOAD_NAME')
2141: ('POP_JUMP_IF_TRUE', 'JUMP_ABSOLUTE')
2101: ('STORE_FAST', 'POP_EXCEPT')
2099: ('LOAD_CONST', 'INPLACE_SUBTRACT')
2074: ('LOAD_CONST', 'LOAD_DEREF')
2071: ('STORE_SUBSCR', 'LOAD_GLOBAL')
2070: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
2045: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
2030: ('BUILD_LIST', 'COMPARE_OP')
2027: ('BUILD_CONST_KEY_MAP', 'STORE_FAST')
2020: ('EXTENDED_ARG', 'JUMP_IF_FALSE_OR_POP')
2009: ('SETUP_WITH', 'STORE_FAST')
2004: ('BUILD_CONST_KEY_MAP', 'RETURN_VALUE')
1994: ('LOAD_CONST', 'BUILD_TUPLE')
1969: ('POP_JUMP_IF_FALSE', 'LOAD_NAME')
1940: ('JUMP_FORWARD', 'EXTENDED_ARG')
1921: ('POP_TOP', 'BUILD_LIST')
1908: ('POP_JUMP_IF_FALSE', 'JUMP_FORWARD')
1868: ('BINARY_MODULO', 'RETURN_VALUE')
1866: ('POP_BLOCK', 'JUMP_ABSOLUTE')
1863: ('LOAD_GLOBAL', 'RETURN_VALUE')
1851: ('MAKE_FUNCTION', 'LOAD_DEREF')
1848: ('UNARY_NOT', 'STORE_FAST')
1843: ('CALL_FUNCTION', 'BINARY_ADD')
1837: ('LOAD_ATTR', 'JUMP_IF_NOT_EXC_MATCH')
1836: ('LOAD_CONST', 'BINARY_SUBTRACT')
1831: ('BINARY_ADD', 'INPLACE_ADD')
1826: ('<0>', 'LOAD_DEREF')
1825: ('IS_OP', 'STORE_FAST')
1824: ('LOAD_DEREF', 'STORE_ATTR')
1822: ('JUMP_IF_TRUE_OR_POP', 'CALL_METHOD')
1818: ('POP_JUMP_IF_TRUE', 'POP_TOP')
1817: ('SETUP_FINALLY', 'LOAD_DEREF')
1817: ('EXTENDED_ARG', 'JUMP_IF_NOT_EXC_MATCH')
1815: ('CALL_FUNCTION_EX', 'POP_BLOCK')
1814: ('IS_OP', 'JUMP_IF_FALSE_OR_POP')
1814: ('CONTAINS_OP', 'POP_JUMP_IF_TRUE')
1810: ('BINARY_AND', 'POP_JUMP_IF_FALSE')
1810: ('JUMP_FORWARD', 'BUILD_LIST')
1810: ('JUMP_IF_TRUE_OR_POP', 'LOAD_CONST')
1809: ('CONTAINS_OP', 'JUMP_IF_FALSE_OR_POP')
1807: ('JUMP_ABSOLUTE', 'LOAD_CONST')
1806: ('LOAD_CONST', 'SET_UPDATE')
1806: ('BUILD_SET', 'LOAD_CONST')
1803: ('BINARY_SUBSCR', 'ROT_TWO')
1802: ('BINARY_MODULO', 'LOAD_CONST')
1802: ('BUILD_LIST', 'JUMP_FORWARD')
1801: ('BINARY_MODULO', 'CALL_METHOD')
1801: ('POP_BLOCK', 'EXTENDED_ARG')
1801: ('LOAD_FAST', 'JUMP_IF_FALSE_OR_POP')
1801: ('RAISE_VARARGS', 'WITH_EXCEPT_START')
1801: ('BUILD_SLICE', 'DELETE_SUBSCR')
1801: ('CALL_FUNCTION_KW', 'POP_BLOCK')
1800: ('<0>', 'EXTENDED_ARG')
1800: ('UNARY_NOT', 'BUILD_LIST')
1800: ('BINARY_SUBSCR', 'JUMP_FORWARD')
1800: ('DELETE_SUBSCR', 'LOAD_FAST')
1800: ('UNPACK_SEQUENCE', 'LOAD_FAST')
1800: ('LOAD_CONST', 'BINARY_MODULO')
1800: ('LOAD_ATTR', 'JUMP_IF_FALSE_OR_POP')
1800: ('LOAD_ATTR', 'BUILD_SLICE')
1800: ('LOAD_ATTR', 'DICT_MERGE')
1800: ('JUMP_FORWARD', 'POP_EXCEPT')
1800: ('JUMP_IF_TRUE_OR_POP', 'UNARY_NOT')
1800: ('LOAD_GLOBAL', 'YIELD_VALUE')
1800: ('CONTAINS_OP', 'JUMP_IF_TRUE_OR_POP')
