385: ('IMPORT_NAME', 'IMPORT_FROM')
384: ('POP_BLOCK', 'ROT_TWO')
382: ('LOAD_ATTR', 'STORE_SUBSCR')
374: ('CALL_METHOD', 'CALL_METHOD')
368: ('BUILD_LIST', 'CALL_METHOD')
366: ('ROT_TWO', 'LOAD_CONST')
363: ('BUILD_TUPLE', 'CONTAINS_OP')
362: ('CALL_METHOD', 'EXTENDED_ARG')
360: ('LOAD_METHOD', 'LOAD_NAME')
359: ('POP_JUMP_IF_TRUE', 'LOAD_DEREF')
356: ('STORE_FAST', 'POP_EXCEPT')
352: ('STORE_NAME', 'POP_TOP')
331: ('CALL_FUNCTION', 'DUP_TOP')
330: ('BUILD_TUPLE', 'BINARY_SUBSCR')
329: ('LOAD_ATTR', 'EXTENDED_ARG')
325: ('STORE_ATTR', 'SETUP_FINALLY')
322: ('BINARY_SUBSCR', 'MAP_ADD')
321: ('CALL_METHOD', 'LOAD_ATTR')
315: ('FOR_ITER', 'POP_BLOCK')
312: ('BUILD_TUPLE', 'YIELD_VALUE')
309: ('BUILD_TUPLE', 'POP_BLOCK')
308: ('LOAD_ATTR', 'FORMAT_VALUE')
307: ('BUILD_TUPLE', 'BUILD_TUPLE')
306: ('CALL_FUNCTION_EX', 'LOAD_FAST')
296: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
293: ('BINARY_SUBTRACT', 'CALL_FUNCTION')
292: ('POP_TOP', 'LOAD_NAME')
290: ('LOAD_CONST', 'INPLACE_SUBTRACT')
287: ('STORE_ATTR', 'BUILD_LIST')
284: ('CALL_METHOD', 'DUP_TOP')
283: ('LOAD_CONST', 'BUILD_LIST')
275: ('BINARY_SUBSCR', 'LOAD_DEREF')
274: ('BINARY_POWER', 'COMPARE_OP')
274: ('BINARY_SUBSCR', 'BINARY_ADD')
274: ('LOAD_NAME', 'CALL_METHOD')
274: ('CALL_METHOD', 'YIELD_VALUE')
273: ('LOAD_ATTR', 'BUILD_TUPLE')
272: ('BINARY_AND', 'COMPARE_OP')
