9: ('STORE_SUBSCR', 'POP_EXCEPT')
9: ('GET_ITER', 'EXTENDED_ARG')
9: ('BUILD_LIST', 'BUILD_TUPLE')
9: ('BUILD_LIST', 'LOAD_DEREF')
9: ('IMPORT_NAME', 'IMPORT_STAR')
9: ('JUMP_IF_TRUE_OR_POP', 'CALL_METHOD')
9: ('STORE_FAST', 'LOAD_CLOSURE')
9: ('STORE_DEREF', 'LOAD_CLOSURE')
8: ('JUMP_FORWARD', 'LOAD_NAME')
8: ('POP_JUMP_IF_TRUE', 'LOAD_CLOSURE')
8: ('LOAD_GLOBAL', 'STORE_ATTR')
8: ('CALL_FUNCTION', 'LOAD_GLOBAL')
8: ('LOAD_DEREF', 'LIST_EXTEND')
8: ('STORE_DEREF', 'LOAD_GLOBAL')
8: ('CALL_METHOD', 'BUILD_TUPLE')
7: ('POP_TOP', 'BUILD_LIST')
7: ('STORE_ATTR', 'BUILD_MAP')
7: ('STORE_GLOBAL', 'LOAD_GLOBAL')
7: ('LOAD_CONST', 'LOAD_CLOSURE')
7: ('JUMP_ABSOLUTE', 'SETUP_FINALLY')
7: ('CALL_FUNCTION', 'STORE_GLOBAL')
6: ('<0>', 'LOAD_DEREF')
6: ('BINARY_ADD', 'POP_TOP')
6: ('STORE_ATTR', 'EXTENDED_ARG')
6: ('LOAD_CONST', 'STORE_SUBSCR')
6: ('LOAD_NAME', 'BINARY_OR')
6: ('BUILD_MAP', 'LOAD_METHOD')
6: ('LOAD_ATTR', 'FORMAT_VALUE')
6: ('JUMP_FORWARD', 'JUMP_FORWARD')
6: ('JUMP_IF_TRUE_OR_POP', 'STORE_FAST')
6: ('POP_JUMP_IF_TRUE', 'LOAD_NAME')
6: ('CONTAINS_OP', 'YIELD_VALUE')
6: ('SETUP_FINALLY', 'LOAD_NAME')
6: ('CALL_FUNCTION', 'STORE_DEREF')
6: ('MAKE_FUNCTION', 'LOAD_DEREF')
6: ('LOAD_DEREF', 'LOAD_DEREF')
6: ('CALL_METHOD', 'CALL_METHOD')
5: ('POP_TOP', 'LOAD_DEREF')
5: ('BINARY_AND', 'STORE_FAST')
5: ('FOR_ITER', 'LOAD_DEREF')
5: ('STORE_ATTR', 'LOAD_CLOSURE')
5: ('STORE_ATTR', 'LOAD_DEREF')
5: ('LOAD_CONST', 'BINARY_SUBTRACT')
5: ('LOAD_CONST', 'BUILD_SET')
5: ('LOAD_NAME', 'POP_JUMP_IF_FALSE')
5: ('LOAD_NAME', 'EXTENDED_ARG')
5: ('BUILD_SET', 'BINARY_AND')
5: ('BUILD_MAP', 'CALL_FUNCTION')
5: ('LOAD_ATTR', 'IS_OP')
5: ('POP_JUMP_IF_TRUE', 'RERAISE')
5: ('IS_OP', 'STORE_FAST')
5: ('STORE_FAST', 'BUILD_MAP')
5: ('MAKE_FUNCTION', 'LOAD_NAME')
5: ('LOAD_DEREF', 'GET_ITER')
5: ('BUILD_CONST_KEY_MAP', 'STORE_NAME')
5: ('CALL_METHOD', 'DUP_TOP')
5: ('CALL_METHOD', 'BINARY_SUBSCR')
4: ('POP_TOP', 'DELETE_NAME')
4: ('BINARY_MULTIPLY', 'COMPARE_OP')
4: ('WITH_EXCEPT_START', 'POP_JUMP_IF_TRUE')
4: ('STORE_SUBSCR', 'EXTENDED_ARG')
4: ('IMPORT_STAR', 'POP_BLOCK')
4: ('LOAD_CONST', 'JUMP_FORWARD')
4: ('BUILD_SET', 'STORE_NAME')
4: ('LOAD_ATTR', 'BINARY_OR')
4: ('COMPARE_OP', 'STORE_NAME')
4: ('JUMP_FORWARD', 'LOAD_BUILD_CLASS')
4: ('JUMP_FORWARD', 'BUILD_LIST')
4: ('LOAD_GLOBAL', 'DUP_TOP')
4: ('LOAD_GLOBAL', 'SETUP_WITH')
