155: ('STORE_ATTR', 'JUMP_FORWARD')
155: ('LOAD_NAME', 'CALL_METHOD')
155: ('CALL_METHOD', 'YIELD_VALUE')
154: ('BINARY_AND', 'COMPARE_OP')
154: ('LOAD_FAST', 'JUMP_FORWARD')
153: ('STORE_ATTR', 'SETUP_FINALLY')
152: ('LOAD_DEREF', 'LOAD_ATTR')
150: ('JUMP_FORWARD', 'JUMP_ABSOLUTE')
148: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
147: ('LOAD_METHOD', 'LOAD_DEREF')
146: ('BINARY_SUBTRACT', 'LOAD_FAST')
146: ('GET_ITER', 'EXTENDED_ARG')
144: ('STORE_FAST', 'POP_EXCEPT')
140: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
139: ('LOAD_FAST', 'CALL_FUNCTION_EX')
138: ('IS_OP', 'POP_JUMP_IF_TRUE')
138: ('LOAD_FAST', 'MAP_ADD')
137: ('BINARY_MODULO', 'STORE_FAST')
137: ('BINARY_SUBSCR', 'UNPACK_SEQUENCE')
135: ('LOAD_CONST', 'BINARY_SUBTRACT')
134: ('FORMAT_VALUE', 'LOAD_CONST')
131: ('<0>', 'BUILD_MAP')
131: ('LOAD_FAST', 'LIST_EXTEND')
130: ('LOAD_DEREF', 'CONTAINS_OP')
128: ('CALL_METHOD', 'LOAD_GLOBAL')
122: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
122: ('EXTENDED_ARG', 'SETUP_FINALLY')
121: ('STORE_SUBSCR', 'LOAD_GLOBAL')
121: ('STORE_FAST', 'EXTENDED_ARG')
120: ('DELETE_SUBSCR', 'POP_BLOCK')
120: ('LOAD_ATTR', 'EXTENDED_ARG')
120: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
120: ('CALL_METHOD', 'CALL_METHOD')
119: ('STORE_SUBSCR', 'EXTENDED_ARG')
118: ('BINARY_AND', 'LOAD_FAST')
118: ('LOAD_CONST', 'LOAD_CLOSURE')
117: ('CONTAINS_OP', 'STORE_FAST')
116: ('BINARY_ADD', 'STORE_SUBSCR')
116: ('CALL_FUNCTION', 'LOAD_GLOBAL')
113: ('BINARY_SUBSCR', 'CALL_METHOD')
113: ('BUILD_TUPLE', 'STORE_FAST')
113: ('STORE_FAST', 'BUILD_MAP')
110: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
109: ('LOAD_CONST', 'BUILD_MAP')
109: ('POP_JUMP_IF_FALSE', 'POP_TOP')
108: ('COMPARE_OP', 'JUMP_FORWARD')
108: ('JUMP_FORWARD', 'JUMP_IF_FALSE_OR_POP')
108: ('JUMP_IF_FALSE_OR_POP', 'LOAD_CONST')
107: ('STORE_SUBSCR', 'LOAD_NAME')
105: ('BUILD_MAP', 'CALL_METHOD')
105: ('CALL_FUNCTION_EX', 'POP_TOP')
104: ('BINARY_AND', 'LOAD_CONST')
103: ('LIST_TO_TUPLE', 'CALL_FUNCTION_EX')
103: ('BUILD_TUPLE', 'CALL_METHOD')
101: ('LOAD_DEREF', 'BUILD_TUPLE')
100: ('STORE_DEREF', 'LOAD_DEREF')
99: ('COMPARE_OP', 'STORE_FAST')
99: ('POP_JUMP_IF_TRUE', 'SETUP_FINALLY')
97: ('LOAD_ATTR', 'BUILD_LIST')
95: ('BINARY_SUBTRACT', 'RETURN_VALUE')
95: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
95: ('CALL_FUNCTION', 'BINARY_SUBTRACT')
